shift_date,total_icu_patients,patient_out_count,patient_intake_count,average_los
2008-01-01T00:00:00Z,4,0,4,2.589868827160494
2008-01-02T00:00:00Z,10,1,7,2.304864969135803
2008-01-03T00:00:00Z,16,4,10,4.510783500514404
2008-01-04T00:00:00Z,14,5,3,1.935438850308642
2008-01-05T00:00:00Z,18,4,7,10.400302854938271
2008-01-06T00:00:00Z,19,6,5,0.7036068672839506
2008-01-07T00:00:00Z,20,3,7,1.492333140432099
2008-01-08T00:00:00Z,20,6,5,2.773179012345679
2008-01-09T00:00:00Z,21,8,8,2.189673353909465
2008-01-10T00:00:00Z,30,5,13,1.9453411136831278
2008-01-11T00:00:00Z,27,10,7,5.758931327160493
2008-01-12T00:00:00Z,25,7,7,2.7772173996913576
2008-01-13T00:00:00Z,25,5,4,0.6776543209876542
2008-01-14T00:00:00Z,27,6,8,2.661608796296296
2008-01-15T00:00:00Z,23,8,5,2.2370949074074074
2008-01-16T00:00:00Z,24,4,6,1.9092457561728395
2008-01-17T00:00:00Z,30,5,10,3.8670611496913576
2008-01-18T00:00:00Z,30,5,6,0.5263085133744855
2008-01-19T00:00:00Z,26,10,5,3.1955410879629635
2008-01-20T00:00:00Z,31,5,9,2.660684799382716
2008-01-21T00:00:00Z,24,6,1,0.33634645061728397
2008-01-22T00:00:00Z,26,7,8,3.4643875385802474
2008-01-23T00:00:00Z,27,8,9,2.1224537037037035
2008-01-24T00:00:00Z,29,7,9,5.499789416152264
2008-01-25T00:00:00Z,24,12,6,3.2604918981481483
2008-01-26T00:00:00Z,27,6,11,4.622710744598766
2008-01-27T00:00:00Z,25,6,3,1.2192746913580248
2008-01-28T00:00:00Z,25,5,5,0.6695891203703704
2008-01-29T00:00:00Z,26,6,8,4.217107445987654
2008-01-30T00:00:00Z,23,9,6,3.3998919753086416
2008-01-31T00:00:00Z,23,6,5,2.432116769547325
2008-02-01T00:00:00Z,24,6,7,1.8259365354938273
2008-02-02T00:00:00Z,26,10,11,0.8713773148148146
2008-02-03T00:00:00Z,26,9,11,2.685222415123457
2008-02-04T00:00:00Z,31,4,8,1.7525186471193415
2008-02-05T00:00:00Z,29,9,6,1.6344753086419752
2008-02-06T00:00:00Z,24,8,4,1.660425347222222
2008-02-07T00:00:00Z,24,6,7,1.8876793981481483
2008-02-08T00:00:00Z,30,10,12,2.6078983410493826
2008-02-09T00:00:00Z,31,7,10,4.8341415895061735
2008-02-10T00:00:00Z,33,9,8,1.9073771862139919
2008-02-11T00:00:00Z,26,10,5,1.8177343750000003
2008-02-12T00:00:00Z,24,7,6,0.6328645833333334
2008-02-13T00:00:00Z,21,7,5,2.8157301311728395
2008-02-14T00:00:00Z,21,8,8,2.9035362011316876
2008-02-15T00:00:00Z,22,6,8,2.078256494341564
2008-02-16T00:00:00Z,22,7,5,0.6822521219135802
2008-02-17T00:00:00Z,24,8,9,2.1173199588477365
2008-02-18T00:00:00Z,24,5,7,3.2591570216049384
2008-02-19T00:00:00Z,23,7,7,1.3477980324074075
2008-02-20T00:00:00Z,25,8,8,1.0402555941358023
2008-02-21T00:00:00Z,19,12,6,1.3258738425925924
2008-02-22T00:00:00Z,16,10,8,2.124254436728395
2008-02-23T00:00:00Z,20,6,10,2.0944852752057614
2008-02-24T00:00:00Z,23,8,10,2.539404899691358
2008-02-25T00:00:00Z,20,12,7,2.468318865740741
2008-02-26T00:00:00Z,18,3,5,0.6170370370370369
2008-02-27T00:00:00Z,18,7,6,1.1981163194444442
2008-02-28T00:00:00Z,26,7,12,2.6587262088477366
2008-02-29T00:00:00Z,19,5,1,2.3192438271604936
2008-03-01T00:00:00Z,21,8,8,1.395968042695473
2008-03-02T00:00:00Z,18,6,6,2.408634259259259
2008-03-03T00:00:00Z,24,5,8,1.055795396090535
2008-03-04T00:00:00Z,27,8,11,2.0329705504115227
2008-03-05T00:00:00Z,22,10,5,1.1769978137860082
2008-03-06T00:00:00Z,19,9,7,2.388911394032922
2008-03-07T00:00:00Z,25,5,12,3.4403649048353913
2008-03-08T00:00:00Z,29,10,10,1.68933867026749
2008-03-09T00:00:00Z,23,8,7,1.6350462962962962
2008-03-10T00:00:00Z,23,10,10,2.585850212191358
2008-03-11T00:00:00Z,26,10,11,2.635944573045268
2008-03-12T00:00:00Z,21,13,6,2.00069637345679
2008-03-13T00:00:00Z,29,4,13,5.4349511959876535
2008-03-14T00:00:00Z,29,8,9,1.5383275462962962
2008-03-15T00:00:00Z,27,10,9,1.9463940329218108
2008-03-16T00:00:00Z,33,12,15,5.679955889917696
2008-03-17T00:00:00Z,31,12,12,2.6667406121399178
2008-03-18T00:00:00Z,31,11,10,2.1614522247942385
2008-03-19T00:00:00Z,36,8,13,1.8985300925925925
2008-03-20T00:00:00Z,36,7,10,2.1146576003086417
2008-03-21T00:00:00Z,35,11,7,5.065090663580246
2008-03-22T00:00:00Z,28,12,6,1.5423341049382715
2008-03-23T00:00:00Z,24,9,6,3.0471277006172834
2008-03-24T00:00:00Z,26,5,6,0.5411423611111111
2008-03-25T00:00:00Z,23,10,6,2.0179928626543213
2008-03-26T00:00:00Z,19,5,3,0.9827372685185186
2008-03-27T00:00:00Z,28,2,11,3.5144100437242796
2008-03-28T00:00:00Z,32,4,8,2.693356802983539
2008-03-29T00:00:00Z,38,10,13,2.4984752443415643
2008-03-30T00:00:00Z,35,12,10,2.317906378600823
2008-03-31T00:00:00Z,34,10,10,1.1079160236625514
2008-04-01T00:00:00Z,33,11,11,2.177866512345679
2008-04-02T00:00:00Z,35,14,15,2.666219457304527
2008-04-03T00:00:00Z,29,11,4,0.8418653549382716
2008-04-04T00:00:00Z,26,9,8,2.625585133744856
2008-04-05T00:00:00Z,32,6,13,3.096462191358025
2008-04-06T00:00:00Z,39,9,16,2.8136347415123453
2008-04-07T00:00:00Z,39,16,12,1.8094737011316873
2008-04-08T00:00:00Z,30,15,9,0.8718132716049384
2008-04-09T00:00:00Z,31,9,11,4.174499582047325
2008-04-10T00:00:00Z,34,7,11,3.4759307484567903
2008-04-11T00:00:00Z,44,8,14,1.6361578575102882
2008-04-12T00:00:00Z,37,11,7,1.5056494341563786
2008-04-13T00:00:00Z,35,9,6,0.9934108153292179
2008-04-14T00:00:00Z,34,17,14,5.5457085905349786
2008-04-15T00:00:00Z,32,6,6,1.534111689814815
2008-04-16T00:00:00Z,33,7,10,3.459481095679012
2008-04-17T00:00:00Z,36,7,8,1.5438691165123455
2008-04-18T00:00:00Z,28,13,6,0.7221727109053497
2008-04-19T00:00:00Z,30,7,9,1.925939429012346
2008-04-20T00:00:00Z,34,13,14,3.331891396604938
2008-04-21T00:00:00Z,26,12,5,2.1243238811728395
2008-04-22T00:00:00Z,28,6,10,7.74413387345679
2008-04-23T00:00:00Z,39,7,17,4.366262217078189
2008-04-24T00:00:00Z,38,7,9,3.0427358217592597
2008-04-25T00:00:00Z,43,9,13,2.218098315329218
2008-04-26T00:00:00Z,50,10,14,1.8842949459876543
2008-04-27T00:00:00Z,46,13,12,3.1371305941358023
2008-04-28T00:00:00Z,40,18,9,1.8320823688271606
2008-04-29T00:00:00Z,32,15,7,1.3328462577160494
2008-04-30T00:00:00Z,33,3,8,1.376312371399177
2008-05-01T00:00:00Z,32,14,9,7.4060583847736625
2008-05-02T00:00:00Z,28,6,5,0.9975752314814815
2008-05-03T00:00:00Z,34,7,11,1.8287152777777778
2008-05-04T00:00:00Z,33,11,12,3.3334235146604936
2008-05-05T00:00:00Z,30,11,9,1.2798414994855967
2008-05-06T00:00:00Z,35,5,9,1.3402645961934159
2008-05-07T00:00:00Z,30,14,7,1.505395447530864
2008-05-08T00:00:00Z,33,8,12,1.2559749228395063
2008-05-09T00:00:00Z,30,16,13,2.383231738683128
