,shift_id,start_time,end_time,Trauma SICU (TSICU),Cardiac Vascular Intensive Care Unit (CVICU),Coronary Care Unit (CCU),Medical Intensive Care Unit (MICU),Medical/Surgical Intensive Care Unit (MICU/SICU),Surgical Intensive Care Unit (SICU),Neuro Surgical Intensive Care Unit (Neuro SICU),Neuro Stepdown,Neuro Intermediate
0,1,2008-01-01T00:00:00.000Z,2008-01-01T04:00:00.000Z,0,0,0,0,0,0,0,0,0
1,2,2008-01-01T04:00:00.000Z,2008-01-01T08:00:00.000Z,0,0,0,0,0,0,0,0,0
2,3,2008-01-01T08:00:00.000Z,2008-01-01T12:00:00.000Z,0,0,0,0,0,0,0,0,0
3,4,2008-01-01T12:00:00.000Z,2008-01-01T16:00:00.000Z,1,1,1,0,0,0,0,0,0
4,5,2008-01-01T16:00:00.000Z,2008-01-01T20:00:00.000Z,1,1,1,0,0,0,0,0,0
5,6,2008-01-01T20:00:00.000Z,2008-01-02T00:00:00.000Z,1,1,1,2,0,0,0,0,0
6,7,2008-01-02T00:00:00.000Z,2008-01-02T04:00:00.000Z,0,1,1,2,0,0,0,0,0
7,8,2008-01-02T04:00:00.000Z,2008-01-02T08:00:00.000Z,1,1,1,2,0,0,0,0,0
8,9,2008-01-02T08:00:00.000Z,2008-01-02T12:00:00.000Z,1,1,1,1,0,0,0,0,0
9,10,2008-01-02T12:00:00.000Z,2008-01-02T16:00:00.000Z,1,1,1,1,1,0,0,0,0
10,11,2008-01-02T16:00:00.000Z,2008-01-02T20:00:00.000Z,1,1,2,1,1,0,0,0,0
11,12,2008-01-02T20:00:00.000Z,2008-01-03T00:00:00.000Z,1,2,2,1,1,0,0,0,0
12,13,2008-01-03T00:00:00.000Z,2008-01-03T04:00:00.000Z,1,2,2,1,1,0,0,0,0
13,14,2008-01-03T04:00:00.000Z,2008-01-03T08:00:00.000Z,1,2,2,1,1,0,0,0,0
14,15,2008-01-03T08:00:00.000Z,2008-01-03T12:00:00.000Z,1,3,2,1,2,1,0,0,0
15,16,2008-01-03T12:00:00.000Z,2008-01-03T16:00:00.000Z,1,4,2,1,2,2,0,0,0
16,17,2008-01-03T16:00:00.000Z,2008-01-03T20:00:00.000Z,1,3,2,1,3,2,0,0,0
17,18,2008-01-03T20:00:00.000Z,2008-01-04T00:00:00.000Z,1,3,1,2,3,3,0,0,0
18,19,2008-01-04T00:00:00.000Z,2008-01-04T04:00:00.000Z,1,3,1,2,3,3,0,0,0
19,20,2008-01-04T04:00:00.000Z,2008-01-04T08:00:00.000Z,1,3,1,2,3,3,0,0,0
20,21,2008-01-04T08:00:00.000Z,2008-01-04T12:00:00.000Z,1,3,1,2,3,3,0,0,0
21,22,2008-01-04T12:00:00.000Z,2008-01-04T16:00:00.000Z,1,3,1,3,3,3,0,0,0
22,23,2008-01-04T16:00:00.000Z,2008-01-04T20:00:00.000Z,2,3,1,3,3,4,0,0,0
23,24,2008-01-04T20:00:00.000Z,2008-01-05T00:00:00.000Z,3,2,1,4,2,4,0,0,0
24,25,2008-01-05T00:00:00.000Z,2008-01-05T04:00:00.000Z,3,1,1,4,2,5,0,0,0
25,26,2008-01-05T04:00:00.000Z,2008-01-05T08:00:00.000Z,3,1,1,4,2,5,0,0,0
26,27,2008-01-05T08:00:00.000Z,2008-01-05T12:00:00.000Z,3,1,3,4,2,5,0,0,0
27,28,2008-01-05T12:00:00.000Z,2008-01-05T16:00:00.000Z,3,1,3,4,2,6,0,0,0
28,29,2008-01-05T16:00:00.000Z,2008-01-05T20:00:00.000Z,3,1,3,4,2,8,0,0,0
29,30,2008-01-05T20:00:00.000Z,2008-01-06T00:00:00.000Z,2,0,3,4,2,8,0,0,0
30,31,2008-01-06T00:00:00.000Z,2008-01-06T04:00:00.000Z,2,0,3,4,2,8,0,0,0
31,32,2008-01-06T04:00:00.000Z,2008-01-06T08:00:00.000Z,2,0,3,4,2,8,0,0,0
32,33,2008-01-06T08:00:00.000Z,2008-01-06T12:00:00.000Z,2,0,3,4,2,8,0,0,0
33,34,2008-01-06T12:00:00.000Z,2008-01-06T16:00:00.000Z,2,0,3,4,2,8,0,0,0
34,35,2008-01-06T16:00:00.000Z,2008-01-06T20:00:00.000Z,2,1,3,4,1,8,0,0,0
35,36,2008-01-06T20:00:00.000Z,2008-01-07T00:00:00.000Z,2,1,2,6,2,7,0,0,0
36,37,2008-01-07T00:00:00.000Z,2008-01-07T04:00:00.000Z,2,1,2,6,3,6,0,0,0
37,38,2008-01-07T04:00:00.000Z,2008-01-07T08:00:00.000Z,2,1,3,6,3,6,0,0,0
38,39,2008-01-07T08:00:00.000Z,2008-01-07T12:00:00.000Z,2,1,3,6,3,6,0,0,0
39,40,2008-01-07T12:00:00.000Z,2008-01-07T16:00:00.000Z,2,1,3,6,3,6,0,0,0
40,41,2008-01-07T16:00:00.000Z,2008-01-07T20:00:00.000Z,0,1,3,6,5,7,0,0,0
41,42,2008-01-07T20:00:00.000Z,2008-01-08T00:00:00.000Z,0,1,3,6,4,8,0,0,0
42,43,2008-01-08T00:00:00.000Z,2008-01-08T04:00:00.000Z,0,1,3,6,3,8,0,0,0
43,44,2008-01-08T04:00:00.000Z,2008-01-08T08:00:00.000Z,0,1,3,6,3,9,0,0,0
44,45,2008-01-08T08:00:00.000Z,2008-01-08T12:00:00.000Z,0,1,3,6,3,9,0,0,0
45,46,2008-01-08T12:00:00.000Z,2008-01-08T16:00:00.000Z,1,1,2,7,3,9,0,0,0
46,47,2008-01-08T16:00:00.000Z,2008-01-08T20:00:00.000Z,1,1,1,7,3,8,0,0,0
47,48,2008-01-08T20:00:00.000Z,2008-01-09T00:00:00.000Z,1,0,1,6,4,8,0,0,0
48,49,2008-01-09T00:00:00.000Z,2008-01-09T04:00:00.000Z,1,0,1,6,4,9,0,0,0
49,50,2008-01-09T04:00:00.000Z,2008-01-09T08:00:00.000Z,1,0,1,6,3,9,0,0,0
50,51,2008-01-09T08:00:00.000Z,2008-01-09T12:00:00.000Z,1,1,1,5,3,9,0,0,0
51,52,2008-01-09T12:00:00.000Z,2008-01-09T16:00:00.000Z,1,2,2,5,2,9,0,0,0
52,53,2008-01-09T16:00:00.000Z,2008-01-09T20:00:00.000Z,1,2,2,5,3,7,0,0,0
53,54,2008-01-09T20:00:00.000Z,2008-01-10T00:00:00.000Z,2,2,1,5,2,6,0,0,0
54,55,2008-01-10T00:00:00.000Z,2008-01-10T04:00:00.000Z,2,2,1,6,2,6,0,0,0
55,56,2008-01-10T04:00:00.000Z,2008-01-10T08:00:00.000Z,1,2,1,6,2,6,0,0,0
56,57,2008-01-10T08:00:00.000Z,2008-01-10T12:00:00.000Z,1,3,1,6,3,6,0,0,0
57,58,2008-01-10T12:00:00.000Z,2008-01-10T16:00:00.000Z,2,3,1,6,4,6,0,0,0
58,59,2008-01-10T16:00:00.000Z,2008-01-10T20:00:00.000Z,2,2,2,5,4,5,0,0,0
